iter	Passed	Remaining
641	35399	19739
642	35424	19667
643	35447	19595
644	35472	19523
645	35493	19450
646	35516	19377
647	35540	19306
648	35562	19233
649	35588	19163
650	35611	19091
651	35638	19021
652	35662	18950
653	35691	18882
654	35749	18829
655	35784	18765
656	35817	18699
657	35855	18636
658	35880	18566
659	35908	18498
660	35939	18431
661	35961	18360
662	35981	18289
663	36007	18220
664	36028	18149
665	36053	18080
666	36073	18009
667	36094	17939
668	36140	17881
669	36187	17823
670	36207	17753
671	36227	17682
672	36253	17614
673	36276	17546
674	36296	17476
675	36321	17408
676	36343	17339
677	36368	17272
678	36390	17203
679	36411	17134
680	36435	17067
681	36483	17011
682	36504	16942
683	36525	16874
684	36552	16808
685	36572	16740
686	36595	16673
687	36619	16606
688	36661	16548
689	36682	16480
690	36706	16414
691	36736	16350
692	36761	16285
693	36782	16218
694	36973	16225
695	37076	16194
696	37174	16160
697	37248	16116
698	37267	16048
699	37286	15979
700	37304	15911
701	37323	15843
702	37347	15778
703	37372	15713
704	37399	15649
705	37420	15583
706	37440	15516
707	37459	15449
708	37481	15383
709	37500	15316
710	37521	15251
711	37556	15191
712	37575	15125
713	37597	15059
714	37621	14996
715	37658	14937
716	37703	14881
717	37725	14817
718	37825	14783
719	37851	14720
720	37883	14659
721	37922	14601
722	37943	14536
723	37966	14473
724	37986	14408
725	38003	14342
726	38022	14277
727	38044	14214
728	38065	14150
729	38087	14087
730	38106	14022
731	38150	13967
732	38184	13908
733	38214	13848
734	38265	13796
735	38301	13738
736	38327	13677
737	38371	13622
738	38401	13562
739	38423	13500
740	38445	13437
741	38465	13374
742	38495	13315
743	38515	13252
744	38536	13190
745	38561	13129
746	38637	13086
747	38666	13026
748	38728	12978
749	38801	12933
750	38846	12879
751	38878	12821
752	38921	12767
753	38979	12717
754	39031	12665
755	39077	12612
756	39128	12560
757	39164	12503
758	39214	12451
759	39262	12398
760	39303	12343
761	39423	12313
762	39504	12270
763	39613	12236
764	39779	12219
765	39874	12180
766	39947	12135
767	40283	12168
768	40546	12179
769	40626	12135
770	40757	12105
771	41167	12158
772	41382	12152
773	41695	12174
774	41871	12156
775	42004	12125
776	42400	12168
777	42625	12163
778	42782	12137
779	42897	12099
780	43033	12066
781	43136	12025
782	43219	11977
783	43304	11930
784	43371	11878
785	43586	11866
786	43720	11832
787	43818	11788
788	43888	11737
789	43990	11693
790	44018	11630
791	44038	11565
792	44055	11500
793	44081	11436
794	44118	11376
795	44145	11313
796	44167	11249
797	44195	11187
798	44217	11123
799	44237	11059
800	44259	10995
801	44276	10931
802	44317	10872
803	44348	10811
804	44371	10748
805	44410	10689
806	44437	10627
807	44470	10567
808	44512	10509
809	44533	10446
810	44562	10384
811	44587	10323
812	44621	10263
813	44652	10203
814	44677	10141
815	44704	10080
816	44741	10021
817	44765	9960
818	44793	9899
819	44821	9838
820	44856	9779
821	44881	9718
822	44910	9658
823	44937	9598
824	44965	9538
825	44992	9477
826	45018	9417
827	45047	9357
828	45077	9298
829	45105	9238
830	45135	9179
831	45174	9121
832	45202	9062
833	45229	9002
834	45258	8943
835	45286	8884
836	45311	8824
837	45341	8765
838	45371	8706
839	45399	8647
840	45426	8588
841	45454	8529
842	45487	8471
843	45512	8412
844	45542	8354
845	45573	8295
846	45608	8238
847	45643	8181
848	45673	8123
849	45707	8066
850	45739	8008
851	45766	7950
852	45801	7893
853	45826	7834
854	45854	7776
855	45876	7717
856	45910	7660
857	45939	7603
858	45968	7545
859	45994	7487
860	46024	7430
861	46054	7373
862	46083	7315
863	46117	7259
864	46142	7201
865	46167	7143
866	46195	7086
867	46228	7030
868	46250	6972
869	46278	6915
870	46303	6857
871	46334	6801
872	46361	6744
873	46385	6687
874	46414	6630
875	46448	6574
876	46475	6518
877	46503	6461
878	46559	6409
879	46610	6355
880	46651	6301
881	46686	6245
882	46707	6188
883	46727	6131
884	46751	6075
885	46773	6018
886	46791	5960
887	46812	5904
